geoid,name,year,total_est,total_se
02000US1,Northeast Region,2009,9405307,35987.234
02000US1,Northeast Region,2010,8996157,32609.119
02000US1,Northeast Region,2011,8971977,33922.188
02000US1,Northeast Region,2012,8910206,33869.301
02000US1,Northeast Region,2013,8535883,38506.992
02000US1,Northeast Region,2014,8450078,36858.359
02000US1,Northeast Region,2015,8293066,36245.594
02000US1,Northeast Region,2016,8277490,31687.537
02000US1,Northeast Region,2017,8115181,27907.6
02000US2,Midwest Region,2009,9003425,36917.324
02000US2,Midwest Region,2010,8445772,39741.035
02000US2,Midwest Region,2011,8288036,34638.297
02000US2,Midwest Region,2012,8270912,36945.289
02000US2,Midwest Region,2013,8087731,33071.734
02000US2,Midwest Region,2014,8086086,30638.906
02000US2,Midwest Region,2015,7951647,33914.285
02000US2,Midwest Region,2016,7841263,32027.963
02000US2,Midwest Region,2017,7667603,35635.867
02000US3,South Region,2009,11754666,46420.063
02000US3,South Region,2010,11042607,45909.422
02000US3,South Region,2011,11018245,49093.617
02000US3,South Region,2012,10778061,46638.906
02000US3,South Region,2013,10673151,41067.477
02000US3,South Region,2014,10639785,46393.313
02000US3,South Region,2015,10522139,47458.359
02000US3,South Region,2016,10277107,44353.191
02000US3,South Region,2017,9894332,45807.293
02000US4,West Region,2009,6751757,37048.023
02000US4,West Region,2010,6185080,34139.211
02000US4,West Region,2011,6242289,34164.133
02000US4,West Region,2012,6189466,35963.527
02000US4,West Region,2013,6051284,32024.924
02000US4,West Region,2014,5971690,29351.977
02000US4,West Region,2015,5946472,31821.885
02000US4,West Region,2016,5908315,30919.148
02000US4,West Region,2017,5802116,32201.215
