geoid,name,year,total_est,total_se
04000US01,Alabama,2009,525666,9870.5166
04000US01,Alabama,2010,467002,8996.9609
04000US01,Alabama,2011,447735,9624.9238
04000US01,Alabama,2012,423842,9582.3711
04000US01,Alabama,2013,430902,8587.8418
04000US01,Alabama,2014,439023,8749.5439
04000US01,Alabama,2015,431438,8918.541
04000US01,Alabama,2016,407317,9161.7021
04000US01,Alabama,2017,380766,8500.3037
04000US02,Alaska,2010,78413,3493.6169
04000US02,Alaska,2015,67447,3338.6018
04000US04,Arizona,2009,712696,11802.432
04000US04,Arizona,2010,624091,10643.769
04000US04,Arizona,2011,630490,12279.027
04000US04,Arizona,2012,650523,11984.194
04000US04,Arizona,2013,612413,10158.055
04000US04,Arizona,2014,604031,8793.3135
04000US04,Arizona,2015,588860,9753.1914
04000US04,Arizona,2016,609192,9249.8477
04000US04,Arizona,2017,589221,10353.8
04000US05,Arkansas,2009,385441,7647.4165
04000US05,Arkansas,2010,365875,7168.9971
04000US05,Arkansas,2011,342346,7342.8569
04000US05,Arkansas,2012,314226,6839.5137
04000US05,Arkansas,2013,315642,5803.6475
04000US05,Arkansas,2014,330896,7540.4253
04000US05,Arkansas,2015,320421,6851.6719
04000US05,Arkansas,2016,297645,6781.1548
04000US05,Arkansas,2017,279122,7487.5381
04000US06,California,2009,2870349,23486.93
04000US06,California,2010,2573023,18746.504
04000US06,California,2011,2598503,24608.51
04000US06,California,2012,2529571,20586.018
04000US06,California,2013,2533235,19955.016
04000US06,California,2014,2482084,21651.064
04000US06,California,2015,2482190,21939.818
04000US06,California,2016,2413135,21474.164
04000US06,California,2017,2323593,19864.438
04000US08,Colorado,2009,653940,9178.7236
04000US08,Colorado,2010,613526,10935.563
04000US08,Colorado,2011,637444,9772.0361
04000US08,Colorado,2012,638354,10510.639
04000US08,Colorado,2013,622188,8942.249
04000US08,Colorado,2014,620602,9188.4502
04000US08,Colorado,2015,598439,9528.2676
04000US08,Colorado,2016,621512,7551.9756
04000US08,Colorado,2017,618500,8781.7627
04000US09,Connecticut,2009,614154,8418.2373
04000US09,Connecticut,2010,595804,8897.2646
04000US09,Connecticut,2011,584469,7986.626
04000US09,Connecticut,2012,580117,8798.7842
04000US09,Connecticut,2013,557128,9067.4775
04000US09,Connecticut,2014,555071,8036.4741
04000US09,Connecticut,2015,564042,8787.2344
