geoid,name,year,total_est,total_se
16000US0455000,"Phoenix city, Arizona",2009,143254,5056.5352
16000US0455000,"Phoenix city, Arizona",2010,122215,5397.5684
16000US0455000,"Phoenix city, Arizona",2011,121859,6183.5864
16000US0455000,"Phoenix city, Arizona",2012,118894,5279.6353
16000US0455000,"Phoenix city, Arizona",2013,121410,5121.5806
16000US0455000,"Phoenix city, Arizona",2014,124040,3883.2827
16000US0455000,"Phoenix city, Arizona",2015,110390,4148.3281
16000US0455000,"Phoenix city, Arizona",2016,115966,4722.7964
16000US0455000,"Phoenix city, Arizona",2017,119203,4821.8843
16000US0477000,"Tucson city, Arizona",2013,53240,2778.1155
16000US0644000,"Los Angeles city, California",2009,150374,4702.1274
16000US0644000,"Los Angeles city, California",2010,141678,4808.5107
16000US0644000,"Los Angeles city, California",2011,145892,4560.4863
16000US0644000,"Los Angeles city, California",2012,142557,4489.9697
16000US0644000,"Los Angeles city, California",2013,140948,4395.1367
16000US0644000,"Los Angeles city, California",2014,142316,4084.4985
16000US0644000,"Los Angeles city, California",2015,141179,4823.1001
16000US0644000,"Los Angeles city, California",2016,132062,4775.0762
16000US0644000,"Los Angeles city, California",2017,137526,4071.1245
16000US0653000,"Oakland city, California",2013,19902,1554.4073
16000US0653000,"Oakland city, California",2014,22803,1325.8358
16000US0653000,"Oakland city, California",2015,19964,1544.6809
16000US0653000,"Oakland city, California",2016,21490,1662.0061
16000US0666000,"San Diego city, California",2009,119528,4736.7783
16000US0666000,"San Diego city, California",2010,100303,4227.9634
16000US0666000,"San Diego city, California",2011,99111,4105.7749
16000US0666000,"San Diego city, California",2012,99897,3866.8694
16000US0666000,"San Diego city, California",2013,102855,3950.1519
16000US0666000,"San Diego city, California",2014,100238,3745.8967
16000US0666000,"San Diego city, California",2015,105182,4425.5317
16000US0666000,"San Diego city, California",2016,98027,4342.249
16000US0666000,"San Diego city, California",2017,89821,4182.3706
16000US0667000,"San Francisco city, California",2009,72333,3409.1187
16000US0667000,"San Francisco city, California",2010,62927,3379.9392
16000US0667000,"San Francisco city, California",2011,65370,3154.4072
16000US0667000,"San Francisco city, California",2012,61031,2919.7568
16000US0667000,"San Francisco city, California",2013,66975,3039.5137
16000US0667000,"San Francisco city, California",2014,73409,2841.9453
16000US0667000,"San Francisco city, California",2015,67662,2694.8328
16000US0667000,"San Francisco city, California",2016,68077,3311.854
16000US0667000,"San Francisco city, California",2017,66206,3350.7598
16000US0668000,"San Jose city, California",2010,41522,2517.9331
16000US0668000,"San Jose city, California",2011,44188,2759.8784
16000US0668000,"San Jose city, California",2012,46061,2486.3223
16000US0668000,"San Jose city, California",2013,48379,2579.9392
16000US0668000,"San Jose city, California",2014,43798,2301.5198
16000US0668000,"San Jose city, California",2015,43946,2365.9575
16000US0668000,"San Jose city, California",2016,40771,2300.304
16000US0668000,"San Jose city, California",2017,40364,2617.6292
16000US0820000,"Denver city, Colorado",2011,64549,3128.2676
16000US0820000,"Denver city, Colorado",2012,62924,2757.4468
16000US0820000,"Denver city, Colorado",2013,64113,2872.9482
16000US0820000,"Denver city, Colorado",2014,65702,2962.918
16000US0820000,"Denver city, Colorado",2015,63092,2437.082
16000US0820000,"Denver city, Colorado",2016,71446,2780.5471
16000US0820000,"Denver city, Colorado",2017,67883,3166.5654
16000US1150000,"Washington city, District of Columbia",2009,40476,2279.0273
16000US1150000,"Washington city, District of Columbia",2010,41980,2269.301
16000US1150000,"Washington city, District of Columbia",2011,40177,1927.6595
16000US1150000,"Washington city, District of Columbia",2012,42816,2276.5957
16000US1150000,"Washington city, District of Columbia",2013,42268,2118.541
16000US1150000,"Washington city, District of Columbia",2014,46670,2106.991
16000US1150000,"Washington city, District of Columbia",2015,43864,2355.623
16000US1150000,"Washington city, District of Columbia",2016,45517,2254.1033
16000US1150000,"Washington city, District of Columbia",2017,48683,2020.0608
16000US1235000,"Jacksonville city, Florida",2009,90354,5161.7021
16000US1235000,"Jacksonville city, Florida",2010,85487,4161.0942
16000US1235000,"Jacksonville city, Florida",2013,80855,3984.1946
16000US1235000,"Jacksonville city, Florida",2015,76785,4217.0215
16000US1235000,"Jacksonville city, Florida",2016,72807,3824.9241
16000US1235000,"Jacksonville city, Florida",2017,65804,3376.2917
16000US1304000,"Atlanta city, Georgia",2014,24220,1598.7842
16000US1304000,"Atlanta city, Georgia",2016,26626,1920.3647
16000US1304000,"Atlanta city, Georgia",2017,29160,2007.2948
16000US1714000,"Chicago city, Illinois",2009,238590,6343.4648
16000US1714000,"Chicago city, Illinois",2010,198164,5223.708
16000US1714000,"Chicago city, Illinois",2011,208562,5517.9331
16000US1714000,"Chicago city, Illinois",2012,200724,5858.9668
16000US1714000,"Chicago city, Illinois",2013,203972,5848.0244
16000US1714000,"Chicago city, Illinois",2014,196568,4893.6172
16000US1714000,"Chicago city, Illinois",2015,201530,6192.0972
16000US1714000,"Chicago city, Illinois",2016,204566,6156.8389
16000US1714000,"Chicago city, Illinois",2017,200778,5977.5078
16000US1836003,"Indianapolis city (balance), Indiana",2014,76479,3456.5349
16000US2404000,"Baltimore city, Maryland",2013,37359,2282.0669
16000US2404000,"Baltimore city, Maryland",2014,36949,2337.386
16000US2404000,"Baltimore city, Maryland",2015,32897,2181.155
16000US2404000,"Baltimore city, Maryland",2016,34073,1734.3466
16000US2404000,"Baltimore city, Maryland",2017,36259,2349.5442
16000US2507000,"Boston city, Massachusetts",2009,117807,4921.5806
16000US2507000,"Boston city, Massachusetts",2010,106801,3411.55
16000US2507000,"Boston city, Massachusetts",2011,92933,3258.9666
16000US2507000,"Boston city, Massachusetts",2012,92811,3250.4558
16000US2507000,"Boston city, Massachusetts",2013,90415,3401.2158
